,edition,ruling,number_ruling,lie
11760,California,False,4,1
11761,Nevada,Pants on Fire!,5,1
11762,Pennsylvania,False,4,1
11764,Rhode Island,True,0,0
11765,Ohio,Half-True,2,0
11767,Texas,True,0,0
11769,Pennsylvania,False,4,1
11770,Texas,Pants on Fire!,5,1
11771,Texas,Half-True,2,0
11774,Virginia,Half-True,2,0
11775,Virginia,Half-True,2,0
11776,Wisconsin,Mostly True,1,0
11777,North Carolina,Half-True,2,0
11779,Florida,False,4,1
11780,Arizona,Half-True,2,0
11781,California,Mostly True,1,0
11782,Pennsylvania,Mostly True,1,0
11784,Texas,Half-True,2,0
11788,Florida,Mostly True,1,0
11789,Georgia,Mostly True,1,0
11791,Wisconsin,Half-True,2,0
11792,Texas,True,0,0
11793,Texas,False,4,1
11794,Wisconsin,Mostly True,1,0
11796,Texas,False,4,1
11798,Nevada,Half-True,2,0
11800,New Hampshire,Mostly True,1,0
11801,North Carolina,Mostly False,3,1
11804,Ohio,Half-True,2,0
11805,Virginia,Mostly True,1,0
11806,Pennsylvania,Mostly False,3,1
11810,Florida,Mostly True,1,0
11811,Florida,True,0,0
11812,Florida,Half-True,2,0
11813,Florida,Mostly True,1,0
11814,Wisconsin,Half-True,2,0
11815,Wisconsin,True,0,0
11816,California,False,4,1
11817,Virginia,Half-True,2,0
11820,Colorado,Pants on Fire!,5,1
11821,Arizona,Mostly False,3,1
11822,Pennsylvania,Pants on Fire!,5,1
11827,Nevada,Mostly False,3,1
11829,Texas,True,0,0
11830,North Carolina,Mostly False,3,1
11831,Iowa,Half-True,2,0
11832,Virginia,False,4,1
11836,Ohio,Mostly False,3,1
11837,Pennsylvania,Mostly False,3,1
11838,Wisconsin,Half-True,2,0
11839,Florida,Half-True,2,0
11841,Florida,Half-True,2,0
11842,Wisconsin,Mostly True,1,0
11843,California,Half-True,2,0
11844,Wisconsin,True,0,0
11845,Georgia,Half-True,2,0
11849,Arizona,Mostly True,1,0
11850,Texas,Mostly False,3,1
11851,California,Pants on Fire!,5,1
11852,Wisconsin,Mostly False,3,1
11853,Virginia,True,0,0
11854,Wisconsin,Mostly True,1,0
11855,Colorado,True,0,0
11859,Florida,Mostly True,1,0
11861,Nevada,False,4,1
11862,Pennsylvania,Pants on Fire!,5,1
11864,Virginia,False,4,1
11867,Florida,Mostly False,3,1
