,edition,ruling,number_ruling,lie
0,Texas,Pants on Fire!,5,1
1135,Florida,Half-True,2,0
1168,Florida,False,4,1
1170,Florida,Mostly False,3,1
1192,Florida,Pants on Fire!,5,1
1200,Florida,False,4,1
1230,Florida,False,4,1
1254,Florida,Half-True,2,0
1257,Florida,True,0,0
1263,Florida,True,0,0
1265,Texas,Mostly False,3,1
1266,Texas,Half-True,2,0
1267,Texas,False,4,1
1268,Texas,Pants on Fire!,5,1
1269,Texas,Mostly True,1,0
1270,Texas,Mostly True,1,0
1271,Texas,False,4,1
1274,Texas,Half-True,2,0
1275,Texas,Mostly True,1,0
1277,Florida,Mostly False,3,1
1279,Florida,True,0,0
1280,Texas,True,0,0
1281,Texas,Pants on Fire!,5,1
1282,Florida,Mostly True,1,0
1283,Texas,False,4,1
1284,Texas,Mostly True,1,0
1287,Texas,False,4,1
1288,Texas,True,0,0
1289,Texas,Half-True,2,0
1290,Texas,Half-True,2,0
1295,Texas,False,4,1
1296,Texas,True,0,0
1298,Texas,False,4,1
1300,Texas,True,0,0
1306,Texas,False,4,1
1307,Texas,Half-True,2,0
1309,Texas,Mostly True,1,0
1310,Texas,True,0,0
1315,Texas,Mostly True,1,0
1316,Texas,Mostly True,1,0
1317,Texas,Pants on Fire!,5,1
1328,Texas,Half-True,2,0
1332,Texas,True,0,0
1334,Florida,Mostly True,1,0
1339,Texas,Half-True,2,0
1340,Texas,Pants on Fire!,5,1
1341,Texas,Mostly False,3,1
1342,Florida,Half-True,2,0
1345,Texas,False,4,1
1347,Texas,Mostly False,3,1
1349,Texas,True,0,0
1351,Texas,Mostly True,1,0
1355,Texas,Half-True,2,0
1361,Texas,True,0,0
1362,Texas,Half-True,2,0
1363,Texas,Half-True,2,0
1367,Texas,Mostly False,3,1
1368,Texas,False,4,1
1370,Texas,Mostly False,3,1
1372,Texas,False,4,1
1377,Texas,False,4,1
1378,Texas,True,0,0
1380,Texas,False,4,1
1382,Texas,False,4,1
1383,Texas,Mostly False,3,1
1385,Texas,False,4,1
1386,Texas,Mostly True,1,0
1387,Texas,False,4,1
1393,Florida,True,0,0
1395,Florida,Half-True,2,0
1397,Florida,Mostly True,1,0
1398,Texas,Mostly False,3,1
1399,Florida,Half-True,2,0
1400,Florida,Pants on Fire!,5,1
1401,Florida,Mostly False,3,1
1403,Florida,True,0,0
1404,Florida,Half-True,2,0
1405,Texas,Half-True,2,0
1407,Florida,Mostly False,3,1
1409,Texas,Half-True,2,0
1411,Texas,Mostly False,3,1
1412,Texas,Half-True,2,0
1413,Texas,False,4,1
1414,Texas,True,0,0
1415,Texas,True,0,0
1417,Texas,Mostly True,1,0
1419,Florida,Half-True,2,0
1420,Florida,Mostly True,1,0
1422,Florida,Mostly True,1,0
1426,Florida,False,4,1
1427,Florida,True,0,0
1428,Florida,Mostly False,3,1
1429,Florida,True,0,0
1431,Florida,Mostly True,1,0
1432,Texas,True,0,0
1433,Florida,Mostly False,3,1
1434,Florida,Pants on Fire!,5,1
1435,Texas,True,0,0
1439,Texas,True,0,0
1441,Texas,True,0,0
1442,Florida,True,0,0
1443,Florida,False,4,1
1444,Texas,Half-True,2,0
1446,Florida,True,0,0
1447,Texas,Mostly False,3,1
1450,Florida,True,0,0
1451,Florida,True,0,0
1455,Florida,Mostly False,3,1
1458,Texas,Mostly True,1,0
1461,Florida,Half-True,2,0
1462,Florida,Mostly False,3,1
1463,Texas,Mostly True,1,0
1464,Texas,Pants on Fire!,5,1
1465,Texas,Mostly False,3,1
1466,Texas,Pants on Fire!,5,1
1467,Texas,False,4,1
1469,Texas,Mostly True,1,0
1470,Florida,Mostly True,1,0
1471,Florida,Half-True,2,0
1473,Texas,Pants on Fire!,5,1
1474,Florida,True,0,0
1477,Florida,True,0,0
1480,Florida,Half-True,2,0
1483,Texas,True,0,0
1484,Texas,False,4,1
1485,Texas,Half-True,2,0
1486,Texas,Mostly True,1,0
1487,Texas,Mostly False,3,1
1488,Florida,Pants on Fire!,5,1
1492,Florida,Mostly False,3,1
1495,Florida,Mostly False,3,1
1497,Florida,Half-True,2,0
1498,Texas,Half-True,2,0
1499,Florida,Half-True,2,0
1500,Florida,True,0,0
1501,Florida,True,0,0
1502,Texas,Mostly False,3,1
1503,Florida,True,0,0
1505,Florida,True,0,0
1507,Florida,Half-True,2,0
1509,Texas,Pants on Fire!,5,1
1510,Florida,True,0,0
1511,Florida,False,4,1
1513,Texas,Mostly False,3,1
1514,Texas,Mostly False,3,1
1515,Florida,False,4,1
1516,Florida,True,0,0
1517,Florida,True,0,0
1518,Florida,False,4,1
1519,Florida,False,4,1
1520,Florida,Half-True,2,0
1522,Florida,False,4,1
1524,Texas,Half-True,2,0
1525,Florida,True,0,0
1527,Texas,Half-True,2,0
1528,Florida,Half-True,2,0
1531,Texas,True,0,0
1532,Florida,Half-True,2,0
1534,Texas,Half-True,2,0
1535,Florida,True,0,0
1536,Texas,True,0,0
1538,Florida,False,4,1
1539,Florida,True,0,0
1540,Texas,Pants on Fire!,5,1
1541,Florida,Half-True,2,0
1542,Texas,Pants on Fire!,5,1
1545,Florida,Mostly False,3,1
1546,Florida,Mostly True,1,0
1550,Florida,Pants on Fire!,5,1
1551,Texas,False,4,1
1552,Texas,Mostly False,3,1
1553,Texas,True,0,0
1554,Florida,Mostly True,1,0
1555,Texas,False,4,1
1558,Texas,True,0,0
1561,Florida,Mostly True,1,0
1567,Florida,Half-True,2,0
1569,Texas,Half-True,2,0
1573,Florida,Mostly False,3,1
1574,Texas,False,4,1
1575,Florida,True,0,0
1577,Texas,Pants on Fire!,5,1
1578,Texas,False,4,1
1580,Florida,Half-True,2,0
1581,Texas,Pants on Fire!,5,1
1583,Florida,Mostly True,1,0
1585,Texas,False,4,1
1586,Florida,False,4,1
1589,Texas,Mostly False,3,1
1592,Texas,True,0,0
1593,Florida,False,4,1
1594,Florida,True,0,0
1596,Texas,True,0,0
1597,Florida,False,4,1
1599,Texas,True,0,0
1600,Texas,Mostly True,1,0
1602,Florida,Mostly False,3,1
1603,Texas,Half-True,2,0
1604,Texas,Mostly False,3,1
1605,Texas,False,4,1
1608,Florida,True,0,0
1609,Florida,Pants on Fire!,5,1
1610,Florida,Half-True,2,0
1613,Florida,True,0,0
1614,Florida,Mostly True,1,0
1615,Florida,Mostly False,3,1
1620,Texas,Half-True,2,0
1623,Texas,False,4,1
1624,Florida,True,0,0
1625,Florida,False,4,1
1626,Texas,True,0,0
1630,Texas,Mostly True,1,0
1631,Florida,Half-True,2,0
1632,Florida,False,4,1
1641,Texas,Mostly False,3,1
1642,Florida,True,0,0
1645,Texas,True,0,0
1646,Florida,False,4,1
1648,Florida,False,4,1
1649,Florida,True,0,0
1651,Florida,True,0,0
1652,Texas,Half-True,2,0
1653,Texas,False,4,1
1654,Texas,Half-True,2,0
1656,Florida,Pants on Fire!,5,1
1657,Texas,True,0,0
1658,Texas,Mostly False,3,1
1661,Texas,True,0,0
1668,Florida,True,0,0
1670,Florida,Half-True,2,0
1672,Florida,Mostly True,1,0
1675,Florida,Mostly True,1,0
1676,Texas,Half-True,2,0
1677,Texas,Mostly True,1,0
1678,Texas,Half-True,2,0
1681,Florida,True,0,0
1685,Texas,Mostly False,3,1
1691,Florida,True,0,0
1692,Florida,False,4,1
1693,Texas,Half-True,2,0
1695,Florida,Half-True,2,0
1696,Florida,True,0,0
1697,Texas,False,4,1
1698,Texas,Pants on Fire!,5,1
1701,Florida,Mostly True,1,0
1703,Texas,Mostly True,1,0
1705,Florida,Mostly True,1,0
1707,Texas,Pants on Fire!,5,1
1710,Florida,True,0,0
1712,Texas,Mostly True,1,0
1713,Florida,Half-True,2,0
1714,Texas,Half-True,2,0
1715,Texas,Mostly False,3,1
1720,Texas,Half-True,2,0
1721,Florida,Half-True,2,0
1723,Texas,Half-True,2,0
1725,Florida,Pants on Fire!,5,1
1726,Georgia,Half-True,2,0
1727,Georgia,Half-True,2,0
1730,Florida,True,0,0
1731,Texas,Half-True,2,0
1732,Texas,False,4,1
1733,Texas,Mostly True,1,0
1734,Georgia,Mostly False,3,1
1735,Florida,Mostly True,1,0
1736,Georgia,True,0,0
1737,Georgia,Mostly False,3,1
1741,Florida,True,0,0
1743,Georgia,Half-True,2,0
1745,Florida,Half-True,2,0
1748,Georgia,True,0,0
1749,Texas,Pants on Fire!,5,1
1750,Florida,True,0,0
1754,Texas,False,4,1
1756,Florida,True,0,0
1757,Texas,Half-True,2,0
1758,Texas,Mostly False,3,1
1759,Georgia,Mostly True,1,0
1761,Georgia,False,4,1
1763,Florida,Mostly True,1,0
1764,Georgia,True,0,0
1766,Florida,False,4,1
1767,Georgia,Pants on Fire!,5,1
1768,Georgia,Pants on Fire!,5,1
1772,Florida,Mostly False,3,1
1774,Texas,Half-True,2,0
1775,Florida,Mostly True,1,0
1778,Florida,Mostly False,3,1
1782,Georgia,False,4,1
1783,Florida,Mostly False,3,1
1784,Texas,Mostly True,1,0
1786,Florida,Half-True,2,0
1788,Florida,Half-True,2,0
1789,Texas,False,4,1
1790,Texas,False,4,1
1792,Georgia,False,4,1
1793,Texas,Half-True,2,0
1794,Florida,Half-True,2,0
1795,Georgia,False,4,1
1796,Georgia,Mostly False,3,1
1799,Florida,Mostly True,1,0
1800,Texas,False,4,1
1801,Georgia,Mostly False,3,1
1802,Florida,True,0,0
1803,Florida,False,4,1
1805,Georgia,Mostly True,1,0
1806,Rhode Island,Pants on Fire!,5,1
1809,Florida,Mostly True,1,0
1810,Florida,Mostly False,3,1
1811,Rhode Island,True,0,0
1814,Florida,Half-True,2,0
1815,Rhode Island,False,4,1
1816,Florida,Mostly True,1,0
1817,Georgia,Half-True,2,0
1818,Texas,False,4,1
1819,Rhode Island,Half-True,2,0
1820,Florida,True,0,0
1821,Rhode Island,False,4,1
1822,Texas,False,4,1
1824,Georgia,Pants on Fire!,5,1
1825,Georgia,True,0,0
1829,Rhode Island,Pants on Fire!,5,1
1830,Rhode Island,False,4,1
1831,Florida,Half-True,2,0
1832,Florida,Half-True,2,0
1833,Florida,Pants on Fire!,5,1
1834,Rhode Island,Mostly True,1,0
1835,Georgia,True,0,0
1836,Texas,Mostly True,1,0
1837,Texas,Mostly True,1,0
1838,Texas,Mostly True,1,0
1840,Florida,Mostly False,3,1
1841,Texas,False,4,1
1843,Georgia,False,4,1
1848,Florida,Mostly False,3,1
1849,Florida,Mostly True,1,0
1851,Georgia,Mostly True,1,0
1854,Florida,False,4,1
1855,Georgia,Half-True,2,0
1857,Florida,False,4,1
1858,Rhode Island,False,4,1
1859,Texas,True,0,0
1860,Georgia,False,4,1
1861,Georgia,True,0,0
1863,Rhode Island,True,0,0
1865,Georgia,True,0,0
1866,Georgia,Mostly False,3,1
1867,Florida,True,0,0
1869,Texas,Mostly True,1,0
1870,Texas,Mostly False,3,1
1871,Texas,Half-True,2,0
1872,Texas,Mostly True,1,0
1873,Texas,Mostly False,3,1
1875,Georgia,Mostly False,3,1
1876,Florida,Mostly True,1,0
1877,Texas,False,4,1
1882,Rhode Island,Mostly False,3,1
1883,Rhode Island,True,0,0
1884,Florida,True,0,0
1886,Florida,Half-True,2,0
1888,Georgia,Mostly True,1,0
1889,Texas,Mostly False,3,1
1894,Florida,True,0,0
1897,Texas,True,0,0
1898,Rhode Island,Pants on Fire!,5,1
1899,Rhode Island,False,4,1
1901,Florida,False,4,1
1902,Texas,Pants on Fire!,5,1
1903,Georgia,Mostly True,1,0
1904,Georgia,Half-True,2,0
1906,Georgia,Half-True,2,0
1907,Texas,True,0,0
1909,Florida,True,0,0
1911,Georgia,Mostly False,3,1
1912,Texas,Half-True,2,0
1915,Texas,True,0,0
1917,Florida,True,0,0
1918,Georgia,False,4,1
1920,Florida,Mostly True,1,0
1921,Rhode Island,Half-True,2,0
1922,Rhode Island,False,4,1
1923,Ohio,Half-True,2,0
1924,Rhode Island,False,4,1
1925,Florida,Mostly False,3,1
1927,Florida,Mostly False,3,1
1929,Georgia,Half-True,2,0
1930,Florida,True,0,0
1932,Georgia,False,4,1
1933,Texas,True,0,0
1934,Texas,Mostly True,1,0
1935,Florida,Mostly False,3,1
1936,Texas,Pants on Fire!,5,1
1937,Rhode Island,True,0,0
1938,Texas,False,4,1
1941,Georgia,True,0,0
1942,Ohio,True,0,0
1943,Rhode Island,Pants on Fire!,5,1
1944,Florida,Mostly False,3,1
1946,Ohio,Mostly True,1,0
1947,Florida,Mostly True,1,0
1948,Texas,Mostly False,3,1
1950,Texas,False,4,1
1951,Texas,Mostly True,1,0
1952,Ohio,True,0,0
1953,Ohio,True,0,0
1954,Florida,True,0,0
1955,Ohio,Mostly True,1,0
1959,Florida,True,0,0
1962,Georgia,Half-True,2,0
1963,Ohio,Mostly True,1,0
1964,Ohio,False,4,1
1966,Georgia,Mostly False,3,1
1967,Rhode Island,Half-True,2,0
1968,Florida,Mostly True,1,0
1971,Ohio,False,4,1
1972,Ohio,False,4,1
1973,Texas,Half-True,2,0
1974,Florida,Half-True,2,0
1975,Ohio,True,0,0
1976,Ohio,True,0,0
1977,Texas,Half-True,2,0
1978,Georgia,Mostly False,3,1
1979,Ohio,True,0,0
1982,Georgia,Pants on Fire!,5,1
1983,Rhode Island,Half-True,2,0
1984,Ohio,Half-True,2,0
1988,Georgia,Mostly False,3,1
1990,Florida,Mostly True,1,0
1995,Florida,Mostly False,3,1
1996,Georgia,False,4,1
1997,Ohio,Mostly False,3,1
1998,Rhode Island,False,4,1
2000,Florida,Mostly False,3,1
2001,Ohio,Half-True,2,0
2003,Florida,True,0,0
2005,Florida,True,0,0
2006,Rhode Island,Half-True,2,0
2007,Georgia,False,4,1
2008,Ohio,Mostly True,1,0
2009,Texas,Half-True,2,0
2011,Texas,True,0,0
2012,Florida,False,4,1
2013,Georgia,Pants on Fire!,5,1
2014,Florida,Half-True,2,0
2015,Florida,Pants on Fire!,5,1
2016,Texas,Mostly True,1,0
2018,Ohio,Half-True,2,0
2019,Rhode Island,False,4,1
2020,Florida,False,4,1
2021,Rhode Island,Mostly False,3,1
2022,Florida,True,0,0
2023,Georgia,Pants on Fire!,5,1
2024,Texas,Half-True,2,0
2025,Georgia,Mostly False,3,1
2026,Ohio,Mostly False,3,1
2027,Ohio,Mostly False,3,1
2028,Georgia,Half-True,2,0
2030,Florida,Mostly True,1,0
2031,Florida,True,0,0
2035,Ohio,Half-True,2,0
2037,Florida,False,4,1
2039,Georgia,Mostly True,1,0
2041,Ohio,Mostly True,1,0
2044,Rhode Island,Half-True,2,0
2045,Texas,Half-True,2,0
2047,Georgia,Mostly True,1,0
2048,Ohio,Pants on Fire!,5,1
2049,Florida,Mostly True,1,0
2052,Rhode Island,Pants on Fire!,5,1
2053,Ohio,Half-True,2,0
2055,Georgia,Mostly False,3,1
2056,Florida,Half-True,2,0
2057,Texas,Mostly False,3,1
2058,Texas,False,4,1
2059,Rhode Island,Half-True,2,0
2060,Florida,Half-True,2,0
2061,Florida,True,0,0
2063,Florida,Mostly False,3,1
2064,Texas,False,4,1
2065,Georgia,Mostly False,3,1
2066,Florida,Mostly True,1,0
2067,Ohio,True,0,0
2069,Texas,Mostly True,1,0
2072,Florida,Mostly False,3,1
2075,Georgia,True,0,0
2076,Ohio,True,0,0
2077,Florida,True,0,0
2078,Georgia,Half-True,2,0
2081,Texas,Half-True,2,0
2082,Ohio,Pants on Fire!,5,1
2083,Ohio,Pants on Fire!,5,1
2084,Rhode Island,Mostly True,1,0
2085,Florida,Half-True,2,0
2087,Rhode Island,Mostly False,3,1
2088,Texas,False,4,1
2090,Florida,Mostly True,1,0
2091,Texas,Mostly False,3,1
2092,Georgia,True,0,0
2093,Texas,Mostly True,1,0
2094,Florida,Half-True,2,0
2095,Florida,False,4,1
2096,Texas,Half-True,2,0
2099,Georgia,Mostly True,1,0
2101,Texas,True,0,0
2102,Florida,False,4,1
2103,Ohio,False,4,1
2106,Florida,Mostly True,1,0
2107,Georgia,Half-True,2,0
2108,Rhode Island,Mostly True,1,0
2109,Florida,True,0,0
2110,Ohio,Half-True,2,0
2112,Florida,False,4,1
2116,Ohio,Half-True,2,0
2117,Florida,Mostly False,3,1
2118,Texas,True,0,0
2119,Rhode Island,False,4,1
2121,Georgia,Mostly True,1,0
2122,Georgia,Half-True,2,0
2124,Florida,False,4,1
2125,Ohio,Mostly True,1,0
2126,Florida,False,4,1
2127,Texas,Pants on Fire!,5,1
2128,Florida,False,4,1
2129,Texas,False,4,1
2135,Texas,Mostly True,1,0
2136,Georgia,Mostly False,3,1
2137,Ohio,Half-True,2,0
2140,Rhode Island,Mostly False,3,1
2141,Florida,Mostly True,1,0
2142,Florida,True,0,0
2144,Rhode Island,Mostly True,1,0
2145,Ohio,False,4,1
2147,Florida,Mostly False,3,1
2150,Georgia,False,4,1
2151,Ohio,Mostly True,1,0
2153,Florida,Half-True,2,0
2154,Rhode Island,True,0,0
2155,Texas,True,0,0
2156,Texas,Half-True,2,0
2158,Rhode Island,True,0,0
2159,Ohio,Half-True,2,0
2161,Florida,Mostly True,1,0
2162,Florida,Mostly True,1,0
2163,Georgia,True,0,0
2164,Texas,Half-True,2,0
2165,Rhode Island,Half-True,2,0
2167,Ohio,True,0,0
2169,Florida,True,0,0
2170,Florida,Mostly True,1,0
2172,Georgia,Mostly False,3,1
2173,Texas,True,0,0
2174,Ohio,Mostly True,1,0
2176,Florida,Mostly False,3,1
2178,Florida,Mostly True,1,0
2179,Rhode Island,Mostly False,3,1
2184,Ohio,Mostly True,1,0
2185,Rhode Island,False,4,1
2186,Rhode Island,Pants on Fire!,5,1
2188,Texas,Half-True,2,0
2189,Florida,False,4,1
2190,Florida,Half-True,2,0
2191,Texas,Mostly False,3,1
2192,Ohio,Mostly False,3,1
2193,Wisconsin,Half-True,2,0
2194,Wisconsin,Mostly False,3,1
2195,Wisconsin,Mostly False,3,1
2197,Florida,True,0,0
2198,Wisconsin,Mostly False,3,1
2199,Florida,Half-True,2,0
2202,Georgia,Half-True,2,0
2203,Wisconsin,Mostly True,1,0
2204,Texas,Mostly False,3,1
2205,Ohio,True,0,0
2206,Ohio,Mostly False,3,1
2207,Ohio,Pants on Fire!,5,1
2209,Wisconsin,False,4,1
2211,Georgia,Half-True,2,0
2212,Florida,Pants on Fire!,5,1
2214,Florida,Mostly False,3,1
2216,Texas,True,0,0
2218,Rhode Island,Mostly True,1,0
2219,Wisconsin,False,4,1
2221,Rhode Island,False,4,1
2222,Georgia,Half-True,2,0
2223,Wisconsin,Pants on Fire!,5,1
2225,Florida,Half-True,2,0
2226,Texas,True,0,0
2227,Ohio,False,4,1
2228,Rhode Island,Pants on Fire!,5,1
2229,Florida,False,4,1
2230,Wisconsin,Mostly False,3,1
2231,Florida,Mostly True,1,0
2232,Texas,Half-True,2,0
2233,Georgia,Mostly False,3,1
2235,Texas,Half-True,2,0
2236,Wisconsin,False,4,1
2237,Wisconsin,Mostly False,3,1
2238,Wisconsin,Mostly False,3,1
2239,Wisconsin,Half-True,2,0
2240,Ohio,True,0,0
2242,Florida,False,4,1
2245,Texas,Mostly False,3,1
2246,Georgia,Half-True,2,0
2247,Wisconsin,False,4,1
2249,Ohio,Mostly False,3,1
2250,Texas,False,4,1
2251,Wisconsin,Mostly True,1,0
2252,Florida,True,0,0
2256,Georgia,Half-True,2,0
2257,Ohio,Half-True,2,0
2258,Wisconsin,Half-True,2,0
2259,Florida,Mostly False,3,1
2260,Florida,False,4,1
2262,Ohio,Pants on Fire!,5,1
2263,Texas,Mostly False,3,1
2264,Florida,True,0,0
2266,Rhode Island,Half-True,2,0
2267,Florida,Pants on Fire!,5,1
2268,Georgia,Mostly False,3,1
2269,Wisconsin,Mostly False,3,1
2271,Ohio,False,4,1
2272,Florida,Pants on Fire!,5,1
2273,Florida,False,4,1
2275,Texas,Half-True,2,0
2276,Wisconsin,Pants on Fire!,5,1
2277,Wisconsin,Half-True,2,0
2278,Georgia,Mostly False,3,1
2280,Rhode Island,Mostly False,3,1
2281,Wisconsin,Half-True,2,0
2282,Texas,False,4,1
2283,Oregon,Mostly False,3,1
2284,Ohio,Pants on Fire!,5,1
2285,Texas,False,4,1
2288,Georgia,Half-True,2,0
2289,Wisconsin,Half-True,2,0
2290,Texas,Mostly False,3,1
2291,Texas,True,0,0
2293,Georgia,Half-True,2,0
2294,Wisconsin,Pants on Fire!,5,1
2296,Florida,Mostly True,1,0
2297,Texas,False,4,1
2298,Ohio,False,4,1
2300,Florida,Half-True,2,0
2302,Oregon,Pants on Fire!,5,1
2303,Ohio,Half-True,2,0
2306,Wisconsin,Mostly False,3,1
2307,Oregon,Half-True,2,0
2308,Ohio,Half-True,2,0
2310,Florida,Pants on Fire!,5,1
2311,Georgia,Pants on Fire!,5,1
2312,Oregon,Half-True,2,0
2313,Florida,Mostly False,3,1
2314,Oregon,False,4,1
2315,Wisconsin,Half-True,2,0
2316,Rhode Island,Mostly True,1,0
2318,Texas,True,0,0
2319,Wisconsin,Pants on Fire!,5,1
2321,Texas,Mostly False,3,1
2322,Wisconsin,False,4,1
2323,Ohio,Mostly False,3,1
2325,Oregon,Mostly False,3,1
2326,Texas,False,4,1
2329,Florida,Pants on Fire!,5,1
2330,Florida,False,4,1
2331,Florida,False,4,1
2333,Ohio,Mostly True,1,0
2334,Wisconsin,False,4,1
2335,Florida,False,4,1
2336,Florida,False,4,1
2337,Oregon,Mostly True,1,0
2338,Wisconsin,Mostly False,3,1
2341,Florida,False,4,1
2342,Ohio,Mostly False,3,1
2343,Florida,Half-True,2,0
2345,Florida,Pants on Fire!,5,1
2347,Oregon,Half-True,2,0
2348,Florida,Mostly True,1,0
2349,Wisconsin,Half-True,2,0
2350,Ohio,True,0,0
2351,Ohio,Pants on Fire!,5,1
2353,Wisconsin,Pants on Fire!,5,1
2354,Oregon,Mostly True,1,0
2356,Texas,True,0,0
2357,Texas,Mostly True,1,0
2358,Oregon,Half-True,2,0
2359,Ohio,True,0,0
2360,Oregon,Half-True,2,0
2361,Texas,Pants on Fire!,5,1
2363,Oregon,Pants on Fire!,5,1
2364,Georgia,Half-True,2,0
2365,Oregon,Mostly False,3,1
2366,Florida,Mostly False,3,1
2367,Texas,Mostly False,3,1
2369,Oregon,False,4,1
2370,Texas,False,4,1
2371,Florida,False,4,1
2372,Florida,False,4,1
2373,Georgia,False,4,1
2374,Rhode Island,Half-True,2,0
2375,Wisconsin,False,4,1
2376,Rhode Island,False,4,1
2377,Wisconsin,Pants on Fire!,5,1
2382,Texas,False,4,1
2383,Georgia,Half-True,2,0
2384,Wisconsin,False,4,1
2385,Florida,Mostly False,3,1
2387,Oregon,Pants on Fire!,5,1
2388,Rhode Island,True,0,0
2390,Ohio,Half-True,2,0
2391,Wisconsin,True,0,0
2392,Florida,Half-True,2,0
2394,Florida,Half-True,2,0
2395,Ohio,Mostly False,3,1
2396,Florida,True,0,0
2397,Oregon,Mostly True,1,0
2398,Florida,Mostly False,3,1
2399,Rhode Island,False,4,1
2400,Texas,Mostly True,1,0
2401,Wisconsin,False,4,1
2402,Georgia,Pants on Fire!,5,1
2403,Florida,Mostly True,1,0
2404,Florida,False,4,1
2405,Ohio,False,4,1
2406,Texas,True,0,0
2407,Ohio,Mostly False,3,1
2409,Oregon,True,0,0
2410,Wisconsin,Mostly False,3,1
2412,Rhode Island,Mostly False,3,1
2414,Florida,Mostly True,1,0
2415,Georgia,Half-True,2,0
2416,Florida,False,4,1
2417,Texas,True,0,0
2418,Texas,False,4,1
2419,Oregon,Pants on Fire!,5,1
2420,Wisconsin,False,4,1
2421,Wisconsin,Mostly True,1,0
2422,Wisconsin,False,4,1
2423,Florida,False,4,1
2424,Georgia,Half-True,2,0
2425,Ohio,True,0,0
2426,Florida,Mostly False,3,1
2429,Wisconsin,Half-True,2,0
2430,Florida,Half-True,2,0
2431,Florida,False,4,1
2432,Florida,Mostly True,1,0
2433,Florida,Half-True,2,0
2434,Texas,Half-True,2,0
2436,Oregon,Mostly False,3,1
2438,Ohio,Mostly True,1,0
2439,Texas,Mostly True,1,0
2440,Wisconsin,Mostly False,3,1
2441,Oregon,Half-True,2,0
2442,Oregon,Half-True,2,0
2443,Florida,False,4,1
2445,Ohio,Mostly True,1,0
2446,Wisconsin,Pants on Fire!,5,1
2448,Rhode Island,Half-True,2,0
2449,Ohio,False,4,1
2451,Florida,False,4,1
2454,Oregon,Half-True,2,0
2455,Georgia,Mostly True,1,0
2456,Texas,Mostly False,3,1
2457,Wisconsin,Mostly True,1,0
2458,Ohio,Mostly True,1,0
2459,Oregon,False,4,1
2460,Florida,False,4,1
2461,Texas,False,4,1
2462,Florida,Mostly False,3,1
2464,Texas,Half-True,2,0
2467,Georgia,Half-True,2,0
2468,Rhode Island,True,0,0
2469,Wisconsin,Mostly False,3,1
2470,Wisconsin,Pants on Fire!,5,1
2471,Ohio,Mostly True,1,0
2472,Ohio,Mostly True,1,0
2473,Ohio,False,4,1
2475,Wisconsin,Mostly False,3,1
2476,Oregon,False,4,1
2477,Georgia,False,4,1
2478,Florida,Pants on Fire!,5,1
2479,Florida,False,4,1
2483,Rhode Island,False,4,1
2486,Georgia,Mostly False,3,1
2487,Oregon,False,4,1
2488,Ohio,False,4,1
2490,Wisconsin,Half-True,2,0
2491,Texas,False,4,1
2493,Ohio,False,4,1
2495,Oregon,False,4,1
2496,Texas,Pants on Fire!,5,1
2497,Florida,Mostly False,3,1
2498,Wisconsin,False,4,1
2499,Rhode Island,Mostly False,3,1
2500,Florida,Mostly True,1,0
2501,Ohio,Half-True,2,0
2503,Ohio,True,0,0
2505,Georgia,Half-True,2,0
2507,Texas,Pants on Fire!,5,1
2508,Texas,Mostly True,1,0
2509,Florida,False,4,1
2510,Oregon,False,4,1
2511,Wisconsin,True,0,0
2512,Wisconsin,Mostly True,1,0
2513,Florida,Half-True,2,0
2515,Florida,True,0,0
2516,Virginia,Pants on Fire!,5,1
2518,Florida,Pants on Fire!,5,1
2519,Virginia,Half-True,2,0
2520,Texas,True,0,0
2521,Oregon,Pants on Fire!,5,1
2522,Wisconsin,Mostly False,3,1
2523,Oregon,Mostly False,3,1
2524,Wisconsin,Half-True,2,0
2525,Rhode Island,Mostly True,1,0
2527,Wisconsin,Mostly False,3,1
2528,Wisconsin,Half-True,2,0
2529,Virginia,Mostly False,3,1
2530,Virginia,Half-True,2,0
2531,Virginia,Mostly False,3,1
2532,Virginia,False,4,1
2533,Florida,True,0,0
2534,Florida,True,0,0
2535,Florida,Mostly False,3,1
2536,Wisconsin,True,0,0
2537,Florida,False,4,1
2538,Ohio,False,4,1
2539,Georgia,Mostly True,1,0
2541,Virginia,False,4,1
2542,Texas,True,0,0
2543,Ohio,False,4,1
2544,Ohio,Pants on Fire!,5,1
2545,Florida,Pants on Fire!,5,1
2546,Oregon,Half-True,2,0
2548,Georgia,Half-True,2,0
2549,Oregon,True,0,0
2550,Oregon,False,4,1
2551,Wisconsin,Mostly False,3,1
2552,Oregon,Half-True,2,0
2553,Florida,Mostly True,1,0
2555,Florida,Half-True,2,0
2556,Florida,Mostly True,1,0
2557,Florida,True,0,0
2558,Georgia,Mostly False,3,1
2560,Rhode Island,Mostly False,3,1
2562,Florida,False,4,1
2563,Wisconsin,Pants on Fire!,5,1
2564,Texas,False,4,1
2565,Virginia,Half-True,2,0
2566,Virginia,Mostly False,3,1
2567,Florida,Half-True,2,0
2570,Rhode Island,False,4,1
2571,Florida,Mostly True,1,0
2572,Florida,Half-True,2,0
2573,Texas,Mostly True,1,0
2574,Texas,Mostly False,3,1
2575,Wisconsin,Pants on Fire!,5,1
2576,Wisconsin,Pants on Fire!,5,1
2578,Ohio,Pants on Fire!,5,1
2582,Rhode Island,False,4,1
2583,Wisconsin,Pants on Fire!,5,1
2585,Georgia,Pants on Fire!,5,1
2587,Ohio,True,0,0
